name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Cartago, costa rica",2014-10-17,27.7,19,22.1,29.2,19,22.2,19.5,86.2,8.52,100,16.67,rain,,,,16.5,58.8,1012.8,87.4,9.6,108.2,9.4,4,,2014-10-17T05:23:07,2014-10-17T17:16:50,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-18,28,18.8,21.8,29.2,18.8,21.9,19.1,86,44.488,100,12.5,rain,,,,20.4,1.5,1012.3,90.9,10.8,113,9.7,5,,2014-10-18T05:23:10,2014-10-18T17:16:23,0.88,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-19,26.7,18.9,21.9,28.2,18.9,22,19.6,87.3,16.303,100,8.33,rain,,,,16.3,318.9,1012.1,85.8,10.2,128.5,11.3,4,,2014-10-19T05:23:14,2014-10-19T17:15:56,0.92,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-20,26.9,19.8,21.9,28.6,19.8,22,19.7,88.3,15.847,100,12.5,rain,,,,11.8,284.1,1010.9,86.1,8.2,90.6,7.7,3,,2014-10-20T05:23:19,2014-10-20T17:15:31,0.95,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-21,27.3,19.1,22.2,28.9,19.1,22.3,19.5,85.3,0.554,100,8.33,rain,,,,18.1,292.8,1010.6,85,9.5,215.4,18.7,8,,2014-10-21T05:23:24,2014-10-21T17:15:05,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-22,26.6,19,22.1,26.6,19,22.1,19.8,87.7,2.751,100,12.5,rain,,,,19.1,290.8,1011.7,84.9,7,241.3,20.7,9,,2014-10-22T05:23:29,2014-10-22T17:14:41,0.99,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-23,27.9,18,23,30.3,18,23.4,19.9,84.2,0.9,100,4.17,rain,,,,20,295.9,1011.3,62.1,10.4,206.9,17.9,8,,2014-10-23T05:23:36,2014-10-23T17:14:18,1,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-24,29.1,19,23.2,31.1,19,23.6,20.1,83.8,1.698,100,4.17,rain,,,,19.7,235.2,1011.5,70.1,10.2,87.6,7.5,3,,2014-10-24T05:23:43,2014-10-24T17:13:55,0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-25,28.8,19,23.1,30.5,19,23.5,19.7,82.1,11.798,100,4.17,rain,,,,17.6,329.7,1011.5,66,11.5,107.6,9.3,4,,2014-10-25T05:23:50,2014-10-25T17:13:33,0.01,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"MRLM,78767099999,remote,78764099999,MROC,78762099999,MRPV"
"Cartago, costa rica",2014-10-26,25.7,18,21.2,25.7,18,21.2,18.4,84.5,10.391,100,16.67,rain,,,,17.2,40.1,1011.9,79.4,11.1,139.2,11.9,6,,2014-10-26T05:23:58,2014-10-26T17:13:12,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"MRLM,78767099999,78764099999,MROC,78762099999,MRPV"
