;;17;28.1
;;18;19.2
;;19;10
;;20;0.2
;;21;2.8
;;22;3.5
;;23;1.7
;;24;19.8
;;25;16.9
;;26;1.1
;;27;12.1
;;28;21.6
;;29;18.5
;;30;21.2
;;31;8.2
;9;1;11.4
;;2;3.4
;;3;7.7
;;4;11.2
;;5;8.1
;;6;7.2
;;7;0
;;8;2.7
;;9;6.6
;;10;2
;;11;0.6
;;12;0
;;13;8.3
;;14;22.7
;;15;1.2
;;16;4.6
;;17;10.7
;;18;12.6
;;19;2.7
;;20;0.8
;;21;11.3
;;22;10.8
;;23;22.2
;;24;19.1
;;25;7.2
;;26;14.2
;;27;10.7
;;28;14.2
;;29;26.2
;;30;0.5
;10;1;22.6
;;2;60.1
;;3;11.2
;;4;10.2
;;5;12.4
;;6;6.7
;;7;32.6
;;8;40.2
;;9;0.2
;;10;7.1
;;11;10.2
;;12;75.2
;;13;2.1
;;14;12.7
;;15;27.3
;;16;26.6
;;17;10.2
;;18;5.1
;;19;0.2
;;20;1.5
;;21;36.5
;;22;0.8
;;23;0.9
;;24;0
;;25;0.2
;;26;3.8
;;27;2.1
;;28;0.1
;;29;8.2
;;30;22.1
;;31;0.6
;11;1;8.6
;;2;27.6
;;3;1.5
;;4;0.7
;;5;8.2
;;6;16.1
;;7;7.3
;;8;0.4
;;9;2.1
;;10;3.2
;;11;2.1
;;12;1.4
;;13;0.1
;;14;0.6
;;15;1.2
;;16;3.6
;;17;13.6
;;18;14.1
;;19;18.7
;;20;26.1
;;21;12.3
;;22;28.6
;;23;11.6
;;24;4.4
;;25;17.7
;;26;14.6
;;27;2.8
;;28;0.2
;;29;0.2
;;30;15.8
;12;1;0.1
;;2;22.2
;;3;9.1
;;4;3
;;5;0.3
;;6;0.2
;;7;1.6
;;8;0.7
;;9;0.2
;;10;0.7
;;11;0.1
;;12;9.8
