;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2015;11;0;0;0;5.1;18.3;0;0;0;0;28;7.3;0.1;0;0;5.1;35.8;21.1;11.2;5.6;13.5;7;7.8;0;0;5.6;0.6;0;0;6.9;0.5;np.nan
2015;12;0;0;0;2.6;8;2.6;0;0;0.6;0;0;0;0;0;0;0;0;0;19.5;6.5;4.5;0;1.4;0.4;2.9;1.4;0;0;0;0;23.5
2016;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.4;5.6;0;0;1.2;0.8;0.6;0.2;1.5;0;0;0;0
2016;2;0;0;0;1.2;0;0;0;0;1.9;2.4;4.5;0.8;0;0;0;0;5.8;7.5;0.1;0;0;0;0;0;0;7.8;1.5;0;0;np.nan;np.nan
2016;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.3;0;0;0;0.2;0;0;0;0;0;0.4
2016;4;1.4;0;0;1.8;0;0;0;0;0;0;0;0;0;0;0;0;0;3.7;0.1;0;1;0;0;0;0.4;6;24.7;0.1;4.2;33.8;np.nan
2016;5;0.1;0;11.1;17;4.7;10.4;0;0;0;0;0;0;0;2;0.3;3.6;0;1.3;0;0;0;0;6.3;0;1.6;9;22.6;7.6;0.8;11.1;27
2016;6;1.6;13.3;2.8;14.8;16.4;0;0;19;0;1.6;2.2;0;1.3;1.6;0;0;0;26.1;0;6.6;18.4;2.1;24.4;2.9;0;0;0;0;3.5;2.5;np.nan
2016;7;0.4;9.3;0;0;0;8.2;1.2;0.9;2.3;4.3;0.3;0;0.5;0;0;0.8;0;4.5;3.2;0;0;0;6;0;0;0;0.2;0;0;0;0
2016;8;0;0;26.6;0;0;0;0;0;7.4;1.8;1.4;9.8;9.5;9.3;9.2;9.5;0;0;1.5;0;0;1.9;1.3;0;0;0;16.7;11.8;0.2;8.5;1.4
2016;9;1.8;0;0;0;0;0;0;1.5;0;2;8.3;49.5;0;0;7;0;0.2;0;0;0;0;24.9;1.8;0;0;0;0;2;1.5;0.4;np.nan
2016;10;0;4.1;0.4;1.8;36.9;40.5;32.3;32.1;6.7;0.2;9.4;18.9;2;0;0;24.4;18.8;18.9;12.8;0;19;0;0;0;0;2;0;0;0;0.7;1.4
2016;11;0;0;4.6;0;0.7;0.2;0;0;0;1.5;0;0;1.9;2.7;0.5;1.2;2;67.8;39.2;81.8;1.5;0;39.6;0;0;10.6;5.9;4.8;0;5.2;np.nan
2016;12;0;0;0.2;8;0;0;0;0.8;2.9;0.3;12.4;6.8;0;1.2;0;0.8;0;0;0.7;1.2;0.6;0.3;0;0;1;1.4;0;0.4;0;0;0
2017;1;0;0;0;0;0;0;1;5.1;6.2;2;0;0;2.6;1.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2017;2;0;0;0;0.9;0.1;0;0;0;0;1.6;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0.7;1.3;0;0;np.nan;np.nan;np.nan
2017;3;0;0.4;1.4;0.2;0;0;0;0;1.1;0;0;0;0;0;0;0;2;0.1;0;0;0;0;2.8;0.4;0;0;0;0;0;0;0
2017;4;0;0;0;0;0;0;0.3;0.2;0.1;0;0;0;0.3;0.5;0.9;0.5;1.4;20.7;5.1;1.2;1.4;0;0;0;0;2.4;0;0;0;0;np.nan
2017;5;0;0.1;0;17.1;56.9;3.6;12.8;7.4;25;0;4;9.9;1.1;7.1;6.6;50;21.2;0.9;12.5;1.5;10.5;16;0;5.1;0;7.1;0;3.9;16.1;2.1;0
2017;6;0;0;0.4;0.1;5.5;0.7;13.5;6.8;5;5.2;0;0;1.1;1.6;25.1;0;4.5;15.3;50.3;0.2;0;2.3;0;0.1;0;0;1.4;11.1;0;0;np.nan
2017;7;4;0;0;8.7;0;0;0.6;0;1.1;0;1.7;1.4;0;0;0;0;0;0;2.2;0;1;0;0;0;2.7;0;1.8;0.8;0;19.2;4.2
2017;8;0;0;0;0;3.9;6;4.3;0;2.1;0;0;3.3;1.6;0;0;0;0;0.9;0.2;1.8;0;0;0;35.1;44.7;0;0;0;26.7;0;0
2017;9;0;1;0;0;5;0;0;8.9;2.3;17.4;24;0;0;0;0;35;26;6.5;1.5;3.4;51;51.8;23.4;8.6;3.2;10;18.8;3.1;3.2;45;np.nan
2017;10;20.9;5.8;5.8;108.5;9.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;12.5;11.3;11.8;0.3;37;6.1;0;0.3;0;0
2017;11;0;0;0;18.5;0;0;0;0;0;0.4;0;0;2.7;0;0;10.8;0;0;0;1.1;7.2;7.1;5.9;4.6;0;0;2;7.8;1.6;0;np.nan
2017;12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;1;0.3;0;15.4;5.8;6.2;3.4;8.8;0;0;0;0;0.5;7;1.5;3.2;2.1;1.6;7.6;0.4;2.6;0;0;0;0;0;0;4.2;0;1.8;4.8;14.4
2018;2;2.6;1.6;0;0;0;0;0;0;2;1.6;0;0;0;0;1.9;0.5;0;0;0;0;2.9;0.8;0;0;0;0;0;0;np.nan;np.nan;np.nan
2018;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;4;0;0;0;0;0;6.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;np.nan
2018;5;0;0;0;0;0;0;0.9;0;0;0;0;0.8;29;1.3;0;36.2;1.2;15.4;1.3;24.9;9;6;9.5;0;16.5;50;0.8;9.3;13.8;4.2;18.2
2018;6;0;0.8;16;5.5;0.8;0.3;0.2;0;0.5;30.4;41.6;25;16.3;4.1;0;0.9;0;0;0;2.3;2.4;2.5;5.9;0;0;0.5;1.3;17.4;0;;np.nan
2018;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2018;8;0;0;0;0;0;1.3;0;0;1;5.8;8.2;0;0;0;0;2.5;1.4;0;0;0;2.7;16.2;0.3;0;0;0;0;0;0;3;0
