;;Lluvia (mm);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Año;Mes;Día 1;Día 2;Día 3;Día 4;Día 5;Día 6;Día 7;Día 8;Día 9;Día 10;Día 11;Día 12;Día 13;Día 14;Día 15;Día 16;Día 17;Día 18;Día 19;Día 20;Día 21;Día 22;Día 23;Día 24;Día 25;Día 26;Día 27;Día 28;Día 29;Día 30;Día 31
2020;11;84.4;4.4;5.8;5.4;15;0.2;0;0;23.6;31.4;6;0;5.2;5.6;5.8;0.2;1;23;13.6;14.4;5.2;7.4;9.6;11.8;0;0;0.6;0.8;0;4;-
2020;12;7.8;3.6;8.8;1.6;0;0;2.2;8.8;25.8;26.6;16;0;0;0;0;0;12;5;46;19;0;12.8;44.4;1.8;2.2;2;22.8;27.6;3.4;0;0.2
2021;1;1;3.4;0;5;0;0;0;0;1.4;9.6;4;40.6;4.6;1.2;0;0;0;0.6;6;28.8;36.8;0.2;0;0;0;0;0;14.4;24;11.8;0
2021;2;1;15.2;5.4;3.2;0;0;0.6;0;0;0;0;0;0;0;0;0;0;1;1.6;5.6;0.6;0.2;0;0;7.8;0;33.2;0.2;-;-;-
2021;3;4.4;7.4;0;0.2;0;0;0;5.6;7.8;1;0.2;0;2;0;0;0;0;2;16;3;9.2;0.2;0.8;0.2;0;25.6;5.4;0;6.8;27.4;62.6
2021;4;56.6;7.2;6.2;0;0;0;0.2;0.6;1.8;0.4;0;0;1.8;95.6;69.4;34.4;31.4;7.8;0.2;0.6;30.6;3.6;0.2;0;0.2;0;0;0.4;3.8;0.2;-
2021;5;2.8;5.6;0;26.2;0.6;1;3.4;3.4;0.2;9.2;10.2;0.2;11.2;11.4;7;0.2;0;0;0;0;4.4;3;11.2;3.8;6.6;8.4;7.8;2.6;0.2;0.2;0.4
2021;6;0.2;0;1.2;11.4;2;0;7;3.6;7.6;3.2;0.2;6;2.6;4;15.6;0.2;0;0.2;3.4;2.6;17;0;0;0.2;0;22;6.8;0.2;0.2;16.8;-
2021;7;0;0;14.2;13.4;23.4;0.2;1;2.4;2.2;27.6;7;0.6;3.2;5.8;0.2;0;3.6;1;2.2;1.2;6;205;103.8;21;2.8;41.6;2;0;14.6;0;2.8
2021;8;28.8;0;1.8;0;0;10.2;1.6;2.4;2.4;6.6;22.8;1.2;7.2;0.2;0.6;0.2;0;4.6;0.2;7;18.8;10.4;1.4;18;16.6;5.8;0.4;0.4;4.6;4.4;6.2
2021;9;0.2;0;1;7.2;0;0.8;17.4;8;13.2;0.2;4.2;3.8;13.6;4.8;1.6;0;1;0;0;0;0;1.6;12.2;4.6;0.2;16;5.8;0;0;0;-
2021;10;0;0;0;0;4.4;1.6;12.6;2;0.4;0;3.6;0.8;34.4;1;0;5.8;86.4;71.2;2;0.2;0;0;4;0.2;0;0;0;0;11.2;18;3.8
2021;11;21.6;51.2;8.2;1.8;0.2;0.2;4.2;6.2;7.4;0;0;0;0;0;0;0;0.8;0;0;0;0.2;3.4;0.4;1;2.2;0.2;13.6;11.4;45.6;76.8;-
2021;12;10.4;1.8;14;6.2;26.4;5;3.4;3.2;0.2;0;0;0;61.2;24.8;0;1.2;3.4;1.2;0;1;0.2;1.2;7.8;2.8;2.6;3.6;0;0;0;0;0.2
2022;1;0;0;9.8;8.2;0;0;0;1.2;0;0.2;11.2;0.2;0;0;0;2.2;0;2.6;2;0.2;3.2;0.4;2.2;0;0;0;0;0.8;1.2;0.4;0
2022;2;0;0;0;4.4;0.2;0.2;0;0.4;0;5.2;2.4;0.2;2.8;21.8;14.6;0.6;0;6.8;10.8;0.2;4.8;0.2;0;0;0;0;0;0;-;-;-
2022;3;0;1.2;23;31.8;1.2;0;0;0;0;0;0;0;12.4;1;0;0;0;0;2;1.4;0.2;0;0;0.8;1.4;0.2;0;3;4.2;2.8;0
2022;4;9;0;1.2;16.2;1;0.2;0.2;1.2;23.4;6;0.2;0.2;4.8;0.4;6.4;1.8;0.2;5.4;1;0;1;68.8;11;17.2;9.6;16.8;15.2;12.4;1.6;2.2;-
2022;5;9.4;8.6;16.6;0.4;8.6;4.6;0.4;0;0;0;2.6;7.8;21.4;18.4;21.2;17.4;1.8;5;19.6;40.8;0.8;0.2;4.8;5;0.2;21.4;0;2;2.4;2;26.2
2022;6;19;6.4;6.8;0;17.8;7;2.8;23.8;1.8;5.6;22.2;8.4;27.2;4.4;19.4;10.6;8.8;0.8;24.2;13.4;5;0.2;37.8;5;0.4;3.8;5.6;19.2;1.6;9.6;-
2022;7;19;58.4;4;15.4;4.2;9.2;0.6;0;15;0.2;7.4;4.2;18;8.4;1.4;0.2;0;12.4;0.6;6.6;9.2;16.6;0.8;0.2;0;0;0;0;0;10.6;10.8
2022;8;2.2;21.2;13.6;2.6;7.8;8.8;7.4;0.2;0.4;0;65.2;16.2;0;0;0;0.2;0;0.2;2.4;0;0;1.6;12.6;7;2;0;0;27.2;20;19.2;7.2
2022;9;2.4;0.2;0.6;0;16;0;9.4;26.8;4.2;22.8;0;4.6;6.4;0.4;2.4;8.8;46.2;2.2;8;0;7.6;39.6;0.2;0.6;20;0.8;1.8;0.2;15.2;4.6;-
